FunctionalLocation,Str,C,Superiorfunctionallocation,PlPl,PG,WorkCtr,ObjectType,Descriptionoffunctionallocation,Objectnumber
1710-SPA-ADR-DRY01,YBPM,M,1710-SPA-ADR,1710,920,10000013,,Dryer#01,IF00000000000000000077
1710-SPA-ADR-DRY01-D1IV,YBPM,M,1710-SPA-ADR-DRY01,1710,920,10000013,,Inlet Valve,IF00000000000000000078
1710-SPA-ADR-DRY01-D1OV,YBPM,M,1710-SPA-ADR-DRY01,1710,920,10000013,,Outlet Valve,IF00000000000000000079
1710-SPA-ADR-DRY01-D2IV,YBPM,M,1710-SPA-ADR-DRY01,1710,920,10000013,,Inlet Valve,IF00000000000000000081
1710-SPA-ADR-DRY01-D2OV,YBPM,M,1710-SPA-ADR-DRY01,1710,920,10000013,,Outlet Valve,IF00000000000000000082
1710-SPA-ADR-DRY02,YBPM,M,1710-SPA-ADR,1710,920,10000013,,Dryer#02,IF00000000000000000080
1710-SPA-SAC,YBPM,M,1710-SPA,1710,,0,,Air Compressor Plant,IF00000000000000000003
1710-SPA-SAC-PLAR1,YBPM,M,1710-SPA-SAC,1710,920,10000013,,Compressor # 1,IF00000000000000000004
1710-SPA-SAC-PLAR1-CGB1,YBPM,M,1710-SPA-SAC-PLAR1,1710,920,10000013,,Compr1 - Gear Box,IF00000000000000000005
1710-SPA-SAC-PLAR1-CLR1,YBPM,M,1710-SPA-SAC-PLAR1,1710,920,10000013,,Compr1 - Air Cooler 1,IF00000000000000000006
1710-SPA-SAC-PLAR1-CLR2,YBPM,M,1710-SPA-SAC-PLAR1,1710,920,10000013,,Compr1 - Air Cooler 2,IF00000000000000000007
1710-SPA-SAC-PLAR1-CLR3,YBPM,M,1710-SPA-SAC-PLAR1,1710,920,10000013,,Compr1 - Air Cooler 3,IF00000000000000000008
1710-SPA-SAC-PLAR1-CMT1,YBPM,M,1710-SPA-SAC-PLAR1,1710,910,10000014,,Compr1 - Motor,IF00000000000000000009
1710-SPA-SAC-PLAR1-CST1,YBPM,M,1710-SPA-SAC-PLAR1,1710,920,10000013,,Compr1 - Stage 1,IF00000000000000000010
1710-SPA-SAC-PLAR1-CST2,YBPM,M,1710-SPA-SAC-PLAR1,1710,920,10000013,,Compr1 - Stage 2,IF00000000000000000011
1710-SPA-SAC-PLAR1-CST3,YBPM,M,1710-SPA-SAC-PLAR1,1710,920,10000013,,Compr1 - Stage 3,IF00000000000000000012
1710-SPA-SAC-PLAR1-DCTV,YBPM,M,1710-SPA-SAC-PLAR1,1710,930,10000015,,Compr1 - Discharge: Control Valve,IF00000000000000000013
1710-SPA-SAC-PLAR1-DMIV,YBPM,M,1710-SPA-SAC-PLAR1,1710,920,10000013,,Compr1 - Discharge Manual Isolat. Valve,IF00000000000000000014
1710-SPA-SAC-PLAR1-DSBA,YBPM,M,1710-SPA-SAC-PLAR1,1710,920,10000013,,Compr1 - DE side Bearing Assembly,IF00000000000000000015
1710-SPA-SAC-PLAR1-INLT,YBPM,M,1710-SPA-SAC-PLAR1,1710,920,10000013,,Compr1 - Inlet,IF00000000000000000017
1710-SPA-SAC-PLAR1-INLT-SCTV,YBPM,M,1710-SPA-SAC-PLAR1-INLT,1710,920,10000013,,Compr1 - Inlet: Control Valve,IF00000000000000000021
1710-SPA-SAC-PLAR1-INLT-SF01,YBPM,M,1710-SPA-SAC-PLAR1-INLT,1710,920,10000013,,Compr1 - Inlet Filter,IF00000000000000000018
1710-SPA-SAC-PLAR1-INLT-SMIV,YBPM,M,1710-SPA-SAC-PLAR1-INLT,1710,920,10000013,,Compr1 - Inlet:Manual Isolation Valve,IF00000000000000000020
1710-SPA-SAC-PLAR1-INLT-SP01,YBPM,M,1710-SPA-SAC-PLAR1-INLT,1710,920,10000013,,Compr1 - Inlet Pipe,IF00000000000000000019
1710-SPA-SAC-PLAR1-NDBA,YBPM,M,1710-SPA-SAC-PLAR1,1710,920,10000013,,Compr1 - NDE side Bearing Assembly,IF00000000000000000016
1710-SPA-SAC-PLAR2,YBPM,M,1710-SPA-SAC,1710,920,10000013,,Compressor # 2,IF00000000000000000022
1710-SPA-SAC-PLAR2-CGB1,YBPM,M,1710-SPA-SAC-PLAR2,1710,920,10000013,,Compr2 - Gear Box,IF00000000000000000023
1710-SPA-SAC-PLAR2-CLR1,YBPM,M,1710-SPA-SAC-PLAR2,1710,920,10000013,,Compr2 - Air Cooler 1,IF00000000000000000024
1710-SPA-SAC-PLAR2-CLR2,YBPM,M,1710-SPA-SAC-PLAR2,1710,920,10000013,,Compr2 - Air Cooler 2,IF00000000000000000025
1710-SPA-SAC-PLAR2-CLR3,YBPM,M,1710-SPA-SAC-PLAR2,1710,920,10000013,,Compr2 - Air Cooler 3,IF00000000000000000026
1710-SPA-SAC-PLAR2-CMT1,YBPM,M,1710-SPA-SAC-PLAR2,1710,910,10000014,,Compr2 - Motor,IF00000000000000000027
1710-SPA-SAC-PLAR2-CST1,YBPM,M,1710-SPA-SAC-PLAR2,1710,920,10000013,,Compr2 - Stage 1,IF00000000000000000028
1710-SPA-SAC-PLAR2-CST2,YBPM,M,1710-SPA-SAC-PLAR2,1710,920,10000013,,Compr2 - Stage 2,IF00000000000000000029
1710-SPA-SAC-PLAR2-CST3,YBPM,M,1710-SPA-SAC-PLAR2,1710,920,10000013,,Compr2 - Stage 3,IF00000000000000000030
1710-SPA-SAC-PLAR2-DCTV,YBPM,M,1710-SPA-SAC-PLAR2,1710,930,10000015,,Compr2 - Discharge: Control Valve,IF00000000000000000031
1710-SPA-SAC-PLAR2-DMIV,YBPM,M,1710-SPA-SAC-PLAR2,1710,920,10000013,,Compr2 - Discharge Manual Isolat. Valve,IF00000000000000000032
1710-SPA-SAC-PLAR2-DSBA,YBPM,M,1710-SPA-SAC-PLAR2,1710,920,10000013,,Compr2 - DE side Bearing Assembly,IF00000000000000000033
1710-SPA-SAC-PLAR2-INLT,YBPM,M,1710-SPA-SAC-PLAR2,1710,920,10000013,,Compr2 - Inlet,IF00000000000000000035
1710-SPA-SAC-PLAR2-INLT-SCTV,YBPM,M,1710-SPA-SAC-PLAR2-INLT,1710,920,10000013,,Compr2 - Inlet: Control Valve,IF00000000000000000039
1710-SPA-SAC-PLAR2-INLT-SF01,YBPM,M,1710-SPA-SAC-PLAR2-INLT,1710,920,10000013,,Compr2 - Inlet Filter,IF00000000000000000036
1710-SPA-SAC-PLAR2-INLT-SMIV,YBPM,M,1710-SPA-SAC-PLAR2-INLT,1710,920,10000013,,Compr2 - Inlet:Manual Isolation Valve,IF00000000000000000038
1710-SPA-SAC-PLAR2-INLT-SP01,YBPM,M,1710-SPA-SAC-PLAR2-INLT,1710,920,10000013,,Compr2 - Inlet Pipe,IF00000000000000000037
1710-SPA-SAC-PLAR2-NDBA,YBPM,M,1710-SPA-SAC-PLAR2,1710,920,10000013,,Compr2 - NDE side Bearing Assembly,IF00000000000000000034
1710-SPA-SAC-PLAR3,YBPM,M,1710-SPA-SAC,1710,920,10000013,,Compressor # 3,IF00000000000000000040
1710-SPA-SAC-PLAR3-CGB1,YBPM,M,1710-SPA-SAC-PLAR3,1710,920,10000013,,Compr3 - Gear Box,IF00000000000000000041
1710-SPA-SAC-PLAR3-CLR1,YBPM,M,1710-SPA-SAC-PLAR3,1710,920,10000013,,Compr3 - Air Cooler 1,IF00000000000000000042
1710-SPA-SAC-PLAR3-CLR2,YBPM,M,1710-SPA-SAC-PLAR3,1710,920,10000013,,Compr3 - Air Cooler 2,IF00000000000000000043
1710-SPA-SAC-PLAR3-CLR3,YBPM,M,1710-SPA-SAC-PLAR3,1710,920,10000013,,Compr3 - Air Cooler 3,IF00000000000000000044
1710-SPA-SAC-PLAR3-CMT1,YBPM,M,1710-SPA-SAC-PLAR3,1710,910,10000014,,Compr3 - Motor,IF00000000000000000045
1710-SPA-SAC-PLAR3-CST1,YBPM,M,1710-SPA-SAC-PLAR3,1710,920,10000013,,Compr3 - Stage 1,IF00000000000000000046
1710-SPA-SAC-PLAR3-CST2,YBPM,M,1710-SPA-SAC-PLAR3,1710,920,10000013,,Compr3 - Stage 2,IF00000000000000000047
1710-SPA-SAC-PLAR3-CST3,YBPM,M,1710-SPA-SAC-PLAR3,1710,920,10000013,,Compr3 - Stage 3,IF00000000000000000048
1710-SPA-SAC-PLAR3-DCTV,YBPM,M,1710-SPA-SAC-PLAR3,1710,930,10000015,,Compr3 - Discharge: Control Valve,IF00000000000000000049
1710-SPA-SAC-PLAR3-DMIV,YBPM,M,1710-SPA-SAC-PLAR3,1710,920,10000013,,Compr3 - Discharge Manual Isolat. Valve,IF00000000000000000050
1710-SPA-SAC-PLAR3-DSBA,YBPM,M,1710-SPA-SAC-PLAR3,1710,920,10000013,,Compr3 - DE side Bearing Assembly,IF00000000000000000051
1710-SPA-SAC-PLAR3-INLT,YBPM,M,1710-SPA-SAC-PLAR3,1710,920,10000013,,Compr3 - Inlet,IF00000000000000000053
1710-SPA-SAC-PLAR3-INLT-SCTV,YBPM,M,1710-SPA-SAC-PLAR3-INLT,1710,920,10000013,,Compr3 - Inlet: Control Valve,IF00000000000000000057
1710-SPA-SAC-PLAR3-INLT-SF01,YBPM,M,1710-SPA-SAC-PLAR3-INLT,1710,920,10000013,,Compr3 - Inlet Filter,IF00000000000000000054
1710-SPA-SAC-PLAR3-INLT-SMIV,YBPM,M,1710-SPA-SAC-PLAR3-INLT,1710,920,10000013,,Compr3 - Inlet:Manual Isolation Valve,IF00000000000000000056
1710-SPA-SAC-PLAR3-INLT-SP01,YBPM,M,1710-SPA-SAC-PLAR3-INLT,1710,920,10000013,,Compr3 - Inlet Pipe,IF00000000000000000055
1710-SPA-SAC-PLAR3-NDBA,YBPM,M,1710-SPA-SAC-PLAR3,1710,920,10000013,,Compr3 - NDE side Bearing Assembly,IF00000000000000000052
1710-SPA-SAC-PLAR4,YBPM,M,1710-SPA-SAC,1710,920,10000013,,Compressor # 4,IF00000000000000000058
1710-SPA-SAC-PLAR4-CGB1,YBPM,M,1710-SPA-SAC-PLAR4,1710,920,10000013,,Compr4 - Gear Box,IF00000000000000000059
1710-SPA-SAC-PLAR4-CLR1,YBPM,M,1710-SPA-SAC-PLAR4,1710,920,10000013,,Compr4 - Air Cooler 1,IF00000000000000000060
1710-SPA-SAC-PLAR4-CLR2,YBPM,M,1710-SPA-SAC-PLAR4,1710,920,10000013,,Compr4 - Air Cooler 2,IF00000000000000000061
1710-SPA-SAC-PLAR4-CLR3,YBPM,M,1710-SPA-SAC-PLAR4,1710,920,10000013,,Compr4 - Air Cooler 3,IF00000000000000000062
1710-SPA-SAC-PLAR4-CMT1,YBPM,M,1710-SPA-SAC-PLAR4,1710,910,10000014,,Compr4 - Motor,IF00000000000000000063
1710-SPA-SAC-PLAR4-CST1,YBPM,M,1710-SPA-SAC-PLAR4,1710,920,10000013,,Compr4 - Stage 1,IF00000000000000000064
1710-SPA-SAC-PLAR4-CST2,YBPM,M,1710-SPA-SAC-PLAR4,1710,920,10000013,,Compr4 - Stage 2,IF00000000000000000065
1710-SPA-SAC-PLAR4-CST3,YBPM,M,1710-SPA-SAC-PLAR4,1710,920,10000013,,Compr4 - Stage 3,IF00000000000000000066
1710-SPA-SAC-PLAR4-DCTV,YBPM,M,1710-SPA-SAC-PLAR4,1710,930,10000015,,Compr4 - Discharge: Control Valve,IF00000000000000000067
1710-SPA-SAC-PLAR4-DMIV,YBPM,M,1710-SPA-SAC-PLAR4,1710,920,10000013,,Compr4 - Discharge Manual Isolat. Valve,IF00000000000000000068
1710-SPA-SAC-PLAR4-DSBA,YBPM,M,1710-SPA-SAC-PLAR4,1710,920,10000013,,Compr4 - DE side Bearing Assembly,IF00000000000000000069
1710-SPA-SAC-PLAR4-INLT,YBPM,M,1710-SPA-SAC-PLAR4,1710,920,10000013,,Compr4 - Inlet,IF00000000000000000071
1710-SPA-SAC-PLAR4-INLT-SCTV,YBPM,M,1710-SPA-SAC-PLAR4-INLT,1710,920,10000013,,Compr4 - Inlet: Control Valve,IF00000000000000000075
1710-SPA-SAC-PLAR4-INLT-SF01,YBPM,M,1710-SPA-SAC-PLAR4-INLT,1710,920,10000013,,Compr4 - Inlet Filter,IF00000000000000000072
1710-SPA-SAC-PLAR4-INLT-SMIV,YBPM,M,1710-SPA-SAC-PLAR4-INLT,1710,920,10000013,,Compr4 - Inlet:Manual Isolation Valve,IF00000000000000000074
1710-SPA-SAC-PLAR4-INLT-SP01,YBPM,M,1710-SPA-SAC-PLAR4-INLT,1710,920,10000013,,Compr4 - Inlet Pipe,IF00000000000000000073
1710-SPA-SAC-PLAR4-NDBA,YBPM,M,1710-SPA-SAC-PLAR4,1710,920,10000013,,Compr4 - NDE side Bearing Assembly,IF00000000000000000070
AAAA-001,YBPM,M,,1710,920,10000014,,Steam Generation System,IF00000000000000000201
XX17,YBPM,S,,1710,,0,,Service Locations,IF00000000000000000101
XX17-001,YBPM,S,XX17,1710,,0,,Palo Alto,IF00000000000000000102
XX17-001-001,YBPM,S,XX17-001,1710,,0,,Hillview Avenue,IF00000000000000000103
XX17-001-002,YBPM,S,XX17-001,1710,,0,,Coyote Hill Road,IF00000000000000000104
